pes_calls,iter_steps,tot_time,saddle_energy,saddle_fmax,success,method,dimer_rot,dimer_trans,init_energy,barrier,mol_id,spin,scf,rmsd_init_saddle,nghost,min_energy,rmsd_min_sad,rmsd_min_init
79,34,348.764,-3148.033384,-39.3247,True,IDimer,cg,lbfgs,-3147.010779481928,-1.0226045180720575,000,doublets,,0.19555527896049762,0.0,-3151.705453,18.60173112941915,0.7400226710590962
157,63,593.712,-7302.154258,-11.4185,True,IDimer,cg,lbfgs,-7301.29104210642,-0.8632158935797634,000,singlets,,0.32357203050974453,0.0,-7306.953757,0.4533394814348534,0.35471675581550655
369,154,1870.224,-6264.153169,-3.4897,True,IDimer,cg,lbfgs,-6263.918841129346,-0.23432787065394223,001,doublets,,0.6948124931686093,0.0,-6265.584101,0.4789681508415103,0.1862557235951131
986,321,3525.886,-5190.149964,-0.1659,True,IDimer,cg,lbfgs,-5184.282450198528,-5.867513801472342,001,singlets,,1.4155535772049088,0.0,-5192.991172,12.365429260379896,0.9240500507765815
285,137,1634.324,-8374.542703,-47.5243,True,IDimer,cg,lbfgs,-8373.476880631419,-1.0658223685804842,002,doublets,,0.409769741289652,0.0,-8377.941905,14.953106527361065,8.919319342291422
300,138,1216.193,-11351.942914,-33.2837,True,IDimer,cg,lbfgs,-11350.577896706849,-1.3650172931502311,002,singlets,,0.3664238938768511,0.0,-11355.706292,0.37237886096990347,0.3412405832536407
260,107,1390.311,-8375.735092,-3.8375,True,IDimer,cg,lbfgs,-8369.816879607057,-5.918212392944042,003,doublets,,0.19307842731917874,0.0,-8377.62751,24.154500100344855,0.7742773602522653
464,196,1741.98,-5275.412708,-3.8169,True,IDimer,cg,lbfgs,-5274.130616130569,-1.2820918694305874,003,singlets,,0.8572482277256307,0.0,-5280.624646,13.188695775573883,1.5900326391959665
936,325,5609.868,-8427.94459,-43.9059,True,IDimer,cg,lbfgs,-8427.356466392663,-0.5881236073364562,004,doublets,,32.519017520045345,0.0,-8433.421343,1.4665598552151142,0.8250201319441974
162,72,796.68,-7299.817656,-62.3037,True,IDimer,cg,lbfgs,-7294.8702320511375,-4.947423948862706,004,singlets,,0.4141708078638477,0.0,-7305.802441,6.266307745204877,2.4309824943672544
121,40,622.047,-6232.333148,-2.1661,True,IDimer,cg,lbfgs,-6232.017919420575,-0.315228579424911,005,doublets,,0.11846715660980843,0.0,-6233.999336,0.48561033848110613,0.32978587314436936
310,142,1263.203,-5275.956745,-15.242,True,IDimer,cg,lbfgs,-5273.426856286707,-2.529888713293076,005,singlets,,0.45994457511586667,0.0,-5277.440897,1.438087198669597,0.5006308265908239
541,239,4325.554,-7199.671012,-57.5891,True,IDimer,cg,lbfgs,-7196.682391721864,-2.988620278135386,006,doublets,,3.7308625169607166,0.0,,,
140,60,547.612,-6299.948342,-26.0694,True,IDimer,cg,lbfgs,-6296.709223260205,-3.2391187397943213,006,singlets,,0.33383262781653356,0.0,-6302.717862,0.280923170251317,0.3958406136224566
1406,690,6963.188,-9431.578042,-44.2241,True,IDimer,cg,lbfgs,-9430.195606183865,-1.3824358161346026,007,doublets,,6.982811729569111,0.0,-9433.947418,2.0190436391246243,26.00552376237972
453,209,1905.705,-9443.818177,-15.9839,True,IDimer,cg,lbfgs,-9441.501135233337,-2.3170417666624417,007,singlets,,1.878309048446178,0.0,-9450.855907,11.110919061818924,34.46127192875187
578,269,2857.46,-10368.484964,-31.8458,True,IDimer,cg,lbfgs,-10368.74347452493,0.2585105249308981,008,doublets,,0.943044798517414,0.0,-10372.464038,1.0221833604793824,0.9258224163234744
269,113,1032.001,-7333.465717,-10.4574,True,IDimer,cg,lbfgs,-7331.663754421474,-1.8019625785263997,008,singlets,,0.2941520574982842,0.0,-7338.329942,0.4745124049150467,0.37952213117491607
192,89,975.302,-8462.33772,-43.0521,True,IDimer,cg,lbfgs,-8461.263286858595,-1.07443314140437,009,doublets,,0.24759330577556005,0.0,-8464.677071,1.194251136292679,1.188259374117087
276,128,1055.632,-7303.481897,-35.182,True,IDimer,cg,lbfgs,-7303.113748596006,-0.36814840399347304,009,singlets,,0.5124705610911231,0.0,-7306.633895,6.728837754936197,0.8214734786146903
315,122,1521.926,-6350.949891,-8.1876,True,IDimer,cg,lbfgs,-6349.353813651482,-1.59607734851852,010,doublets,,0.27533077753013274,0.0,-6351.340044,11.300034628890039,1.4532832700059564
537,247,1917.082,-4187.436321,-32.9387,True,IDimer,cg,lbfgs,-4181.458769047424,-5.977551952576505,010,singlets,,1.0765533222394978,0.0,-4188.818597,37.430064061975294,2.6642302226821633
252,121,1384.252,-7318.546086,-44.1226,True,IDimer,cg,lbfgs,-7317.877919927892,-0.6681660721078515,011,doublets,,0.3406666722734214,0.0,-7321.876651,0.5260018977497867,0.6801735242225403
294,130,1124.297,-7269.317558,-24.3135,True,IDimer,cg,lbfgs,-7265.661584371102,-3.6559736288973,011,singlets,,0.6151506573351074,0.0,-7272.803698,0.7381035493008474,0.6997524227030498
226,106,1093.453,-7406.048408,-44.0566,True,IDimer,cg,lbfgs,-7405.0349868030635,-1.0134211969361786,012,doublets,,0.2442582937860303,0.0,-7408.402215,0.635826998054587,2.4448397651864013
323,136,1179.373,-6213.90154,-7.4794,True,IDimer,cg,lbfgs,-6211.748501596569,-2.1530384034304006,012,singlets,,0.6803310626034783,0.0,-6218.158351,6.91811744281053,0.5358549057565763
129,60,619.873,-7405.417035,-55.5591,True,IDimer,cg,lbfgs,-7404.630859922598,-0.7861750774027314,013,doublets,,0.16481566929129665,0.0,-7408.47276,15.297224193964947,33.48001207987414
